| Team Name                      | School                                      |   # Solved |   Penalty |
| Bear26                         | University of California, Berkeley          |          0 |         0 |
| Bear27                         | University of California, Berkeley          |          0 |         0 |
| Bear28                         | University of California, Berkeley          |          0 |         0 |
| Bear29                         | University of California, Berkeley          |          0 |         0 |
| Bear3                          | University of California, Berkeley          |          0 |         0 |
| Bear30                         | University of California, Berkeley          |          0 |         0 |
| Bear33                         | University of California, Berkeley          |          0 |         0 |
| Bear34                         | University of California, Berkeley          |          0 |         0 |
| Bear35                         | University of California, Berkeley          |          0 |         0 |
| Bear36                         | University of California, Berkeley          |          0 |         0 |
| Bear37                         | University of California, Berkeley          |          0 |         0 |
| Bear4                          | University of California, Berkeley          |          0 |         0 |
| Bear46                         | University of California, Berkeley          |          0 |         0 |
| Bear47                         | University of California, Berkeley          |          0 |         0 |
| Bear53                         | University of California, Berkeley          |          0 |         0 |
| Bear55                         | University of California, Berkeley          |          0 |         0 |
| Bear56                         | University of California, Berkeley          |          0 |         0 |
| Bear6                          | University of California, Berkeley          |          0 |         0 |
| Bear8                          | University of California, Berkeley          |          0 |         0 |
| UD1                            | University of Dallas                        |          0 |         0 |
| ud2                            | University of Dallas                        |          0 |         0 |
| RON                            | University of Dhaka                         |          0 |         0 |
| UIUC 17                        | University of Illinois at Urbana–Champaign  |          0 |         0 |
| UIUC 18                        | University of Illinois at Urbana–Champaign  |          0 |         0 |
| Rochester #4                   | University of Rochester                     |          0 |         0 |
| Rochester #9                   | University of Rochester                     |          0 |         0 |
| Team 1                         | University of Tennessee at Martin           |          0 |         0 |
| Team 10                        | University of Tennessee at Martin           |          0 |         0 |
| Team 2                         | University of Tennessee at Martin           |          0 |         0 |
| Team 3                         | University of Tennessee at Martin           |          0 |         0 |
| Team 4                         | University of Tennessee at Martin           |          0 |         0 |
| Team 6                         | University of Tennessee at Martin           |          0 |         0 |
| Team 7                         | University of Tennessee at Martin           |          0 |         0 |
| Team 9                         | University of Tennessee at Martin           |          0 |         0 |
| Alan Turing's abs              | University of Texas at Austin               |          0 |         0 |
| Stop                           | University of Texas at Austin               |          0 |         0 |
| UT Vermillion                  | University of Texas at Austin               |          0 |         0 |
| cameron                        | University of Waterloo                      |          0 |         0 |
| Kev                            | University of Waterloo                      |          0 |         0 |
| kw                             | University of Waterloo                      |          0 |         0 |
| Practice                       | University of Waterloo                      |          0 |         0 |
| Waterloo Sky Blue              | University of Waterloo                      |          0 |         0 |
| Wesley Leung                   | University of Waterloo                      |          0 |         0 |
| Xuanji                         | University of Waterloo                      |          0 |         0 |
| Jared Joo                      | Virginia Tech                               |          0 |         0 |
| Matt Davison                   | Virginia Tech                               |          0 |         0 |
| Tori Mannarelli                | Virginia Tech                               |          0 |         0 |
| Trevor Miller                  | Virginia Tech                               |          0 |         0 |
| Aviva Bergman                  | Washington University in St. Louis          |          0 |         0 |
| Deepthi Kailash                | Washington University in St. Louis          |          0 |         0 |
| Joe Frazier                    | Washington University in St. Louis          |          0 |         0 |
| Riya Gupta                     | Washington University in St. Louis          |          0 |         0 |
| Victoria Black                 | Washington University in St. Louis          |          0 |         0 |
| Wilbur Martin                  | Washington University in St. Louis          |          0 |         0 |
| Yipeng Wang                    | Washington University in St. Louis          |          0 |         0 |
