Battle #1: Oh no, the autobots are doomed!
Battle #717: Autobots, roll out!
Battle #718: Autobots, roll out!
Battle #719: Oh no, the autobots are doomed!
Battle #720: Autobots, roll out!
Battle #721: Autobots, roll out!
Battle #722: Autobots, roll out!
Battle #723: Oh no, the autobots are doomed!
Battle #724: Oh no, the autobots are doomed!
Battle #725: Oh no, the autobots are doomed!
Battle #726: Autobots, roll out!
Battle #727: Autobots, roll out!
Battle #728: Autobots, roll out!
Battle #729: Oh no, the autobots are doomed!
Battle #730: Oh no, the autobots are doomed!
Battle #731: Oh no, the autobots are doomed!
Battle #732: Oh no, the autobots are doomed!
Battle #733: Autobots, roll out!
Battle #734: Oh no, the autobots are doomed!
Battle #735: Autobots, roll out!
Battle #736: Autobots, roll out!
Battle #737: Autobots, roll out!
Battle #738: Autobots, roll out!
Battle #739: Oh no, the autobots are doomed!
Battle #740: Oh no, the autobots are doomed!
Battle #741: Oh no, the autobots are doomed!
Battle #742: Autobots, roll out!
Battle #743: Autobots, roll out!
Battle #744: Oh no, the autobots are doomed!
Battle #745: Autobots, roll out!
Battle #746: Oh no, the autobots are doomed!
Battle #747: Autobots, roll out!
Battle #748: Autobots, roll out!
Battle #749: Autobots, roll out!
Battle #750: Autobots, roll out!
Battle #751: Oh no, the autobots are doomed!
Battle #752: Autobots, roll out!
Battle #753: Oh no, the autobots are doomed!
Battle #754: Autobots, roll out!
Battle #755: Oh no, the autobots are doomed!
Battle #756: Oh no, the autobots are doomed!
Battle #757: Oh no, the autobots are doomed!
Battle #758: Oh no, the autobots are doomed!
Battle #759: Autobots, roll out!
Battle #760: Autobots, roll out!
Battle #761: Autobots, roll out!
Battle #762: Oh no, the autobots are doomed!
Battle #763: Oh no, the autobots are doomed!
Battle #764: Autobots, roll out!
Battle #765: Oh no, the autobots are doomed!
Battle #766: Oh no, the autobots are doomed!
Battle #767: Autobots, roll out!
Battle #768: Oh no, the autobots are doomed!
Battle #769: Autobots, roll out!
Battle #770: Oh no, the autobots are doomed!
Battle #771: Oh no, the autobots are doomed!
Battle #772: Oh no, the autobots are doomed!
Battle #773: Oh no, the autobots are doomed!
Battle #774: Oh no, the autobots are doomed!
Battle #775: Oh no, the autobots are doomed!
Battle #776: Autobots, roll out!
Battle #777: Oh no, the autobots are doomed!
Battle #778: Oh no, the autobots are doomed!
Battle #779: Autobots, roll out!
Battle #780: Autobots, roll out!
Battle #781: Oh no, the autobots are doomed!
Battle #782: Oh no, the autobots are doomed!
Battle #783: Autobots, roll out!
Battle #784: Autobots, roll out!
Battle #785: Oh no, the autobots are doomed!
Battle #786: Autobots, roll out!
Battle #787: Autobots, roll out!
Battle #788: Oh no, the autobots are doomed!
Battle #789: Oh no, the autobots are doomed!
Battle #790: Autobots, roll out!
Battle #791: Autobots, roll out!
Battle #792: Autobots, roll out!
Battle #793: Autobots, roll out!
Battle #794: Oh no, the autobots are doomed!
Battle #795: Oh no, the autobots are doomed!
Battle #796: Autobots, roll out!
Battle #797: Oh no, the autobots are doomed!
Battle #798: Oh no, the autobots are doomed!
Battle #799: Autobots, roll out!
Battle #800: Autobots, roll out!
Battle #801: Autobots, roll out!
Battle #802: Oh no, the autobots are doomed!
Battle #803: Oh no, the autobots are doomed!
Battle #804: Autobots, roll out!
Battle #805: Oh no, the autobots are doomed!
Battle #806: Oh no, the autobots are doomed!
Battle #807: Autobots, roll out!
Battle #808: Autobots, roll out!
Battle #809: Oh no, the autobots are doomed!
Battle #810: Autobots, roll out!
Battle #811: Autobots, roll out!
Battle #812: Autobots, roll out!
Battle #813: Autobots, roll out!
Battle #814: Autobots, roll out!
Battle #815: Oh no, the autobots are doomed!
Battle #816: Autobots, roll out!
Battle #817: Oh no, the autobots are doomed!
Battle #818: Autobots, roll out!
Battle #819: Oh no, the autobots are doomed!
Battle #820: Oh no, the autobots are doomed!
Battle #821: Oh no, the autobots are doomed!
Battle #822: Oh no, the autobots are doomed!
Battle #823: Oh no, the autobots are doomed!
Battle #824: Oh no, the autobots are doomed!
Battle #825: Autobots, roll out!
Battle #826: Oh no, the autobots are doomed!
Battle #827: Autobots, roll out!
Battle #828: Autobots, roll out!
Battle #829: Autobots, roll out!
Battle #830: Autobots, roll out!
Battle #831: Oh no, the autobots are doomed!
Battle #832: Autobots, roll out!
Battle #833: Autobots, roll out!
Battle #834: Autobots, roll out!
Battle #835: Autobots, roll out!
Battle #836: Autobots, roll out!
Battle #837: Oh no, the autobots are doomed!
Battle #838: Autobots, roll out!
Battle #839: Oh no, the autobots are doomed!
Battle #840: Oh no, the autobots are doomed!
Battle #841: Oh no, the autobots are doomed!
Battle #842: Oh no, the autobots are doomed!
Battle #843: Oh no, the autobots are doomed!
Battle #844: Oh no, the autobots are doomed!
Battle #845: Autobots, roll out!
Battle #846: Autobots, roll out!
Battle #847: Autobots, roll out!
Battle #848: Oh no, the autobots are doomed!
Battle #849: Autobots, roll out!
Battle #850: Autobots, roll out!
Battle #851: Autobots, roll out!
Battle #852: Oh no, the autobots are doomed!
Battle #853: Oh no, the autobots are doomed!
Battle #854: Oh no, the autobots are doomed!
Battle #855: Autobots, roll out!
Battle #856: Oh no, the autobots are doomed!
Battle #857: Oh no, the autobots are doomed!
Battle #858: Oh no, the autobots are doomed!
Battle #859: Oh no, the autobots are doomed!
Battle #860: Autobots, roll out!
Battle #861: Oh no, the autobots are doomed!
Battle #862: Oh no, the autobots are doomed!
Battle #863: Autobots, roll out!
Battle #864: Autobots, roll out!
Battle #865: Oh no, the autobots are doomed!
Battle #866: Autobots, roll out!
Battle #867: Oh no, the autobots are doomed!
Battle #868: Autobots, roll out!
Battle #869: Autobots, roll out!
Battle #870: Oh no, the autobots are doomed!
Battle #871: Oh no, the autobots are doomed!
Battle #872: Autobots, roll out!
Battle #873: Autobots, roll out!
Battle #874: Autobots, roll out!
Battle #875: Autobots, roll out!
Battle #876: Autobots, roll out!
Battle #877: Oh no, the autobots are doomed!
Battle #878: Oh no, the autobots are doomed!
Battle #879: Oh no, the autobots are doomed!
Battle #880: Autobots, roll out!
Battle #881: Oh no, the autobots are doomed!
Battle #882: Oh no, the autobots are doomed!
Battle #883: Autobots, roll out!
Battle #884: Oh no, the autobots are doomed!
Battle #885: Autobots, roll out!
Battle #886: Oh no, the autobots are doomed!
Battle #887: Oh no, the autobots are doomed!
Battle #888: Oh no, the autobots are doomed!
Battle #889: Oh no, the autobots are doomed!
Battle #890: Autobots, roll out!
Battle #891: Oh no, the autobots are doomed!
Battle #892: Oh no, the autobots are doomed!
Battle #893: Autobots, roll out!
Battle #894: Oh no, the autobots are doomed!
Battle #895: Oh no, the autobots are doomed!
Battle #896: Autobots, roll out!
Battle #897: Autobots, roll out!
Battle #898: Oh no, the autobots are doomed!
Battle #899: Autobots, roll out!
Battle #900: Autobots, roll out!
Battle #901: Autobots, roll out!
Battle #902: Autobots, roll out!
Battle #903: Oh no, the autobots are doomed!
Battle #904: Oh no, the autobots are doomed!
Battle #905: Autobots, roll out!
Battle #906: Autobots, roll out!
Battle #907: Autobots, roll out!
Battle #908: Oh no, the autobots are doomed!
Battle #909: Autobots, roll out!
Battle #910: Autobots, roll out!
Battle #911: Oh no, the autobots are doomed!
Battle #912: Autobots, roll out!
Battle #913: Autobots, roll out!
Battle #914: Oh no, the autobots are doomed!
Battle #915: Oh no, the autobots are doomed!
Battle #916: Oh no, the autobots are doomed!
Battle #917: Oh no, the autobots are doomed!
Battle #918: Autobots, roll out!
Battle #919: Autobots, roll out!
Battle #920: Oh no, the autobots are doomed!
Battle #921: Autobots, roll out!
Battle #922: Oh no, the autobots are doomed!
Battle #923: Oh no, the autobots are doomed!
Battle #924: Autobots, roll out!
Battle #925: Oh no, the autobots are doomed!
Battle #926: Oh no, the autobots are doomed!
Battle #927: Autobots, roll out!
Battle #928: Autobots, roll out!
Battle #929: Autobots, roll out!
Battle #930: Autobots, roll out!
Battle #931: Autobots, roll out!
Battle #932: Autobots, roll out!
Battle #933: Autobots, roll out!
Battle #934: Autobots, roll out!
Battle #935: Oh no, the autobots are doomed!
Battle #936: Oh no, the autobots are doomed!
Battle #937: Oh no, the autobots are doomed!
Battle #938: Oh no, the autobots are doomed!
Battle #939: Oh no, the autobots are doomed!
Battle #940: Autobots, roll out!
Battle #941: Autobots, roll out!
Battle #942: Autobots, roll out!
Battle #943: Autobots, roll out!
Battle #944: Oh no, the autobots are doomed!
Battle #945: Oh no, the autobots are doomed!
Battle #946: Oh no, the autobots are doomed!
Battle #947: Oh no, the autobots are doomed!
Battle #948: Autobots, roll out!
Battle #949: Oh no, the autobots are doomed!
Battle #950: Oh no, the autobots are doomed!
Battle #951: Autobots, roll out!
Battle #952: Autobots, roll out!
Battle #953: Autobots, roll out!
Battle #954: Autobots, roll out!
Battle #955: Oh no, the autobots are doomed!
Battle #956: Autobots, roll out!
Battle #957: Oh no, the autobots are doomed!
Battle #958: Oh no, the autobots are doomed!
Battle #959: Autobots, roll out!
Battle #960: Oh no, the autobots are doomed!
Battle #961: Oh no, the autobots are doomed!
Battle #962: Autobots, roll out!
Battle #963: Oh no, the autobots are doomed!
Battle #964: Oh no, the autobots are doomed!
Battle #965: Oh no, the autobots are doomed!
Battle #966: Autobots, roll out!
Battle #967: Autobots, roll out!
Battle #968: Oh no, the autobots are doomed!
Battle #969: Autobots, roll out!
Battle #970: Autobots, roll out!
Battle #971: Autobots, roll out!
Battle #972: Autobots, roll out!
Battle #973: Oh no, the autobots are doomed!
Battle #974: Autobots, roll out!
Battle #975: Oh no, the autobots are doomed!
Battle #976: Oh no, the autobots are doomed!
Battle #977: Oh no, the autobots are doomed!
Battle #978: Oh no, the autobots are doomed!
Battle #979: Autobots, roll out!
Battle #980: Oh no, the autobots are doomed!
Battle #981: Autobots, roll out!
Battle #982: Autobots, roll out!
Battle #983: Autobots, roll out!
Battle #984: Oh no, the autobots are doomed!
Battle #985: Autobots, roll out!
Battle #986: Oh no, the autobots are doomed!
Battle #987: Autobots, roll out!
Battle #988: Autobots, roll out!
Battle #989: Autobots, roll out!
Battle #990: Autobots, roll out!
Battle #991: Autobots, roll out!
Battle #992: Oh no, the autobots are doomed!
Battle #993: Autobots, roll out!
Battle #994: Autobots, roll out!
Battle #995: Autobots, roll out!
Battle #996: Oh no, the autobots are doomed!
Battle #997: Autobots, roll out!
Battle #998: Autobots, roll out!
Battle #999: Autobots, roll out!
Battle #1000: Autobots, roll out!
Battle #1001: Autobots, roll out!
Battle #1002: Autobots, roll out!
Battle #1003: Autobots, roll out!
Battle #1004: Autobots, roll out!
Battle #1005: Autobots, roll out!
Battle #1006: Oh no, the autobots are doomed!
Battle #1007: Oh no, the autobots are doomed!
Battle #1008: Oh no, the autobots are doomed!
Battle #1009: Oh no, the autobots are doomed!
Battle #1010: Oh no, the autobots are doomed!
Battle #1011: Oh no, the autobots are doomed!
Battle #1012: Oh no, the autobots are doomed!
Battle #1013: Autobots, roll out!
Battle #1014: Autobots, roll out!
Battle #1015: Autobots, roll out!
Battle #1016: Autobots, roll out!
Battle #1017: Oh no, the autobots are doomed!
Battle #1018: Oh no, the autobots are doomed!
Battle #1019: Autobots, roll out!
Battle #1020: Oh no, the autobots are doomed!
Battle #1021: Oh no, the autobots are doomed!
Battle #1022: Autobots, roll out!
Battle #1023: Oh no, the autobots are doomed!
Battle #1024: Oh no, the autobots are doomed!
Battle #1025: Oh no, the autobots are doomed!
Battle #1026: Autobots, roll out!
Battle #1027: Autobots, roll out!
Battle #1028: Autobots, roll out!
Battle #1029: Autobots, roll out!
Battle #1030: Oh no, the autobots are doomed!
Battle #1031: Oh no, the autobots are doomed!
Battle #1032: Autobots, roll out!
Battle #1033: Oh no, the autobots are doomed!
Battle #1034: Oh no, the autobots are doomed!
Battle #1035: Autobots, roll out!
Battle #1036: Autobots, roll out!
Battle #1037: Autobots, roll out!
Battle #1038: Autobots, roll out!
Battle #1039: Oh no, the autobots are doomed!
Battle #1040: Oh no, the autobots are doomed!
Battle #1041: Autobots, roll out!
Battle #1042: Autobots, roll out!
Battle #1043: Autobots, roll out!
Battle #1044: Autobots, roll out!
Battle #1045: Autobots, roll out!
Battle #1046: Oh no, the autobots are doomed!
Battle #1047: Autobots, roll out!
Battle #1048: Oh no, the autobots are doomed!
Battle #1049: Autobots, roll out!
Battle #1050: Oh no, the autobots are doomed!
Battle #1051: Oh no, the autobots are doomed!
Battle #1052: Oh no, the autobots are doomed!
Battle #1053: Oh no, the autobots are doomed!
Battle #1054: Autobots, roll out!
Battle #1055: Autobots, roll out!
Battle #1056: Oh no, the autobots are doomed!
Battle #1057: Autobots, roll out!
Battle #1058: Oh no, the autobots are doomed!
Battle #1059: Autobots, roll out!
Battle #1060: Autobots, roll out!
Battle #1061: Autobots, roll out!
Battle #1062: Oh no, the autobots are doomed!
Battle #1063: Autobots, roll out!
Battle #1064: Autobots, roll out!
Battle #1065: Autobots, roll out!
Battle #1066: Autobots, roll out!
Battle #1067: Autobots, roll out!
Battle #1068: Autobots, roll out!
Battle #1069: Autobots, roll out!
Battle #1070: Oh no, the autobots are doomed!
Battle #1071: Autobots, roll out!
Battle #1072: Autobots, roll out!
Battle #1073: Autobots, roll out!
Battle #1074: Oh no, the autobots are doomed!
Battle #1075: Autobots, roll out!
Battle #1076: Autobots, roll out!
Battle #1077: Autobots, roll out!
Battle #1078: Autobots, roll out!
Battle #1079: Oh no, the autobots are doomed!
Battle #1080: Oh no, the autobots are doomed!
Battle #1081: Oh no, the autobots are doomed!
Battle #1082: Autobots, roll out!
Battle #1083: Autobots, roll out!
Battle #1084: Oh no, the autobots are doomed!
Battle #1085: Autobots, roll out!
Battle #1086: Oh no, the autobots are doomed!
Battle #1087: Autobots, roll out!
Battle #1088: Oh no, the autobots are doomed!
Battle #1089: Autobots, roll out!
Battle #1090: Oh no, the autobots are doomed!
Battle #1091: Oh no, the autobots are doomed!
