Case #1: 153
5 34 77123
5 35 157811
5 36 117605
5 37 94436
5 38 125301
5 39 188625
5 40 107101
5 41 179290
5 42 110766
5 43 54985
5 44 166139
5 45 156064
5 46 136068
5 47 132670
6 7 120573
6 8 182674
6 9 106816
6 10 109501
6 11 146077
6 12 130516
6 13 107656
6 14 111881
6 15 73889
6 16 101943
6 17 113371
6 18 21058
6 19 137728
6 20 111105
6 21 203220
6 22 101812
6 23 139603
6 24 116164
6 25 115219
6 26 208574
6 27 111886
6 28 132634
6 29 60060
6 30 176168
6 31 119927
6 32 166049
6 33 147429
6 34 130830
6 35 79299
6 36 128416
6 37 131063
6 38 130212
6 39 151132
6 40 85712
6 41 20844
6 42 115677
6 43 105527
6 44 101009
6 45 136815
6 46 82998
6 47 156298
7 8 172641
7 9 106195
7 10 104127
7 11 165513
7 12 114494
7 13 138921
7 14 109765
7 15 93938
7 16 151841
7 17 112391
7 18 141631
7 19 159043
7 20 131154
7 21 152369
7 22 50961
7 23 138623
7 24 155809
7 25 156373
7 26 248219
7 27 81881
7 28 108088
7 29 80109
7 30 139520
7 31 89922
7 32 115198
7 33 96578
7 34 129850
7 35 138540
7 36 77565
7 37 130083
7 38 85261
7 39 116385
7 40 34861
7 41 141417
7 42 70726
7 43 86977
7 44 131846
7 45 154854
7 46 124152
7 47 126303
8 9 75858
8 10 126179
8 11 183171
8 12 164754
8 13 157452
8 14 179152
8 15 140715
8 16 183245
8 17 130049
8 18 161616
8 19 128706
8 20 194764
8 21 198291
8 22 131092
8 23 156281
8 24 200048
8 25 131897
8 26 237936
8 27 130042
8 28 149312
8 29 143719
8 30 201196
8 31 138083
8 32 180318
8 33 129213
8 34 147508
8 35 165721
8 36 148284
8 37 147741
8 38 116450
8 39 149020
8 40 137780
8 41 161830
8 42 101915
8 43 157696
8 44 164527
8 45 179397
8 46 99676
8 47 148766
9 10 59733
9 11 107313
9 12 88896
9 13 81594
9 14 103294
9 15 81690
9 16 107387
9 17 54191
9 18 85758
9 19 52848
9 20 118906
9 21 122433
9 22 55234
9 23 80423
9 24 124190
9 25 56039
9 26 181744
9 27 63596
9 28 73454
9 29 67861
9 30 125338
9 31 62225
9 32 104460
9 33 53355
9 34 71650
9 35 106696
9 36 81838
9 37 71883
9 38 50004
9 39 73162
9 40 71334
9 41 85972
9 42 35469
9 43 91250
9 44 88669
9 45 103539
9 46 23818
9 47 72908
10 11 61386
10 12 124852
10 13 74762
10 14 57367
10 15 84375
10 16 99443
10 17 8264
10 18 88443
10 19 81233
10 20 121591
10 21 132854
10 22 84654
10 23 34496
10 24 78263
10 25 58724
10 26 210129
10 27 104505
10 28 74579
10 29 70546
10 30 153021
10 31 112546
10 32 95683
10 33 103676
10 34 25723
10 35 109381
10 36 58050
10 37 25956
10 38 100325
10 39 96081
10 40 69266
10 41 88657
10 42 85790
10 43 120670
10 44 67687
10 45 57612
10 46 38637
10 47 101784
11 12 154262
11 13 131754
11 14 67307
11 15 119442
11 16 109383
11 17 65256
11 18 145435
11 19 138225
11 20 156658
11 21 174311
11 22 126111
11 23 44436
11 24 135255
11 25 115716
11 26 267121
11 27 135632
11 28 84519
11 29 105613
11 30 194478
11 31 127591
11 32 137140
11 33 160668
11 34 35663
11 35 66778
11 36 99507
11 37 35896
11 38 157317
11 39 153073
11 40 130652
11 41 145649
11 42 142782
11 43 162127
11 44 124679
11 45 114604
11 46 83495
11 47 91210
12 13 117772
12 14 104712
12 15 136118
12 16 97531
12 17 116588
12 18 109458
12 19 141744
12 20 169272
12 21 164941
12 22 63533
12 23 145129
12 24 46589
12 25 115549
12 26 213973
12 27 34712
12 28 120660
12 29 122289
12 30 152092
12 31 26671
12 32 127770
12 33 125516
12 34 136356
12 35 163716
12 36 90137
12 37 136589
12 38 97833
12 39 105709
12 40 79633
12 41 109672
12 42 83298
12 43 99549
12 44 124847
12 45 67240
12 46 112714
12 47 63052
13 14 109958
13 15 108873
13 16 152034
13 17 66498
13 18 87026
13 19 134442
13 20 98811
13 21 152562
13 22 104362
13 23 104864
13 24 85333
13 25 129092
13 26 263154
13 27 135282
13 28 108281
13 29 95044
13 30 172729
13 31 143323
13 32 115391
13 33 134949
13 34 96091
13 35 133879
13 36 77758
13 37 96324
13 38 131598
13 39 130303
13 40 104060
13 41 87240
13 42 117063
13 43 140378
13 44 7075
13 45 91834
13 46 96871
13 47 133432
14 15 133981
14 16 105364
14 17 61237
14 18 90823
14 19 134206
14 20 164543
14 21 170292
14 22 91004
14 23 40417
14 24 131236
14 25 94989
14 26 263102
14 27 88839
14 28 80500
14 29 120152
14 30 127171
14 31 96880
14 32 69833
14 33 136621
14 34 31644
14 35 134085
14 36 95954
14 37 31877
14 38 125304
14 39 149054
14 40 74904
14 41 91037
14 42 78569
14 43 94820
14 44 102883
14 45 110585
14 46 79476
14 47 44417
15 16 136944
15 17 88245
15 18 75351
15 19 112602
15 20 64874
15 21 176585
15 22 75177
15 23 113083
15 24 89529
15 25 90093
15 26 154281
15 27 106097
15 28 107508
15 29 13829
15 30 149533
15 31 114138
15 32 139414
15 33 120794
15 34 104776
15 35 52664
15 36 101781
15 37 104543
15 38 103577
15 39 120991
15 40 59077
15 41 75137
15 42 89042
15 43 78892
15 44 115948
15 45 82522
15 46 57872
15 47 102465
16 17 99254
16 18 81313
16 19 139864
16 20 174160
16 21 149080
16 22 100880
16 23 82493
16 24 109225
16 25 52913
16 26 258162
16 27 78901
16 28 104799
16 29 123115
16 30 169247
16 31 70860
16 32 111909
16 33 160742
16 34 73720
16 35 106877
16 36 74276
16 37 73953
16 38 135180
16 39 168345
16 40 116980
16 41 81099
16 42 129586
16 43 136896
16 44 144959
16 45 129876
16 46 85134
16 47 123323
17 18 92313
17 19 85103
17 20 125461
17 21 124590
17 22 76390
17 23 38366
17 24 69999
17 25 62594
17 26 213999
17 27 107310
17 28 78449
17 29 74416
17 30 156891
17 31 115351
17 32 87419
17 33 107546
17 34 29593
17 35 113251
17 36 61920
17 37 29826
17 38 104195
17 39 87817
17 40 77530
17 41 92527
17 42 89660
17 43 112406
17 44 73573
17 45 49348
17 46 30373
17 47 105654
18 19 117098
18 20 112567
18 21 197827
18 22 121748
18 23 118545
18 24 137222
18 25 94161
18 26 229632
18 27 90828
18 28 111576
18 29 61522
18 30 197226
18 31 98869
18 32 160656
18 33 139113
18 34 109772
18 35 100357
18 36 123023
18 37 110005
18 38 135762
18 39 133493
18 40 106770
18 41 214
18 42 121227
18 43 126585
18 44 79951
18 45 141661
18 46 62368
18 47 135240
19 20 149818
19 21 169438
19 22 108082
19 23 111335
19 24 139673
19 25 86951
19 26 128896
19 27 107032
19 28 104366
19 29 98773
19 30 178186
19 31 115073
19 32 155406
19 33 100360
19 34 102562
19 35 137608
19 36 134686
19 37 102795
19 38 102852
19 39 80553
19 40 124182
19 41 116884
19 42 88317
19 43 144098
19 44 141517
19 45 119022
19 46 54730
19 47 125756
20 21 207147
20 22 105739
20 23 151693
20 24 126745
20 25 127309
20 26 219155
20 27 136659
20 28 144724
20 29 51045
20 30 186749
20 31 144700
20 32 169976
20 33 158010
20 34 142920
20 35 109476
20 36 132343
20 37 143153
20 38 140039
20 39 161713
20 40 96293
20 41 112353
20 42 125504
20 43 69723
20 44 105886
20 45 147396
20 46 95088
20 47 167339
21 22 101408
21 23 147421
21 24 148005
21 25 178472
21 26 298334
21 27 132328
21 28 105327
21 29 162756
21 30 169775
21 31 140369
21 32 112437
21 33 69078
21 34 138648
21 35 201591
21 36 74804
21 37 138881
21 38 135708
21 39 88885
21 40 117508
21 41 198041
21 42 121173
21 43 137424
21 44 145487
21 45 127354
21 46 146251
21 47 151421
22 23 99221
22 24 110122
22 25 111273
22 26 226263
22 27 30920
22 28 57127
22 29 61348
22 30 88559
22 31 38961
22 32 64237
22 33 77817
22 34 105983
22 35 100183
22 36 26604
22 37 90681
22 38 34300
22 39 97624
22 40 16100
22 41 121962
22 42 51965
22 43 36016
22 44 97287
22 45 125738
22 46 79052
22 47 75342
23 24 108365
23 25 88826
23 26 230851
23 27 129256
23 28 57629
23 29 100648
23 30 167588
23 31 121215
23 32 110250
23 33 133778
23 34 8773
23 35 111214
23 36 72617
23 37 8540
23 38 130427
23 39 126183
23 40 103762
23 41 118759
23 42 115892
23 43 135237
23 44 97789
23 45 87714
23 46 56605
23 47 84834
24 25 132593
24 26 216152
24 27 81301
24 28 89262
24 29 75700
24 30 136588
24 31 73260
24 32 157418
24 33 78927
24 34 99592
24 35 134131
24 36 119785
24 37 99825
24 38 144422
24 39 59120
24 40 120948
24 41 137008
24 42 129887
24 43 113105
24 44 78258
24 45 20651
24 46 100372
24 47 109641
25 26 215847
25 27 110223
25 28 81857
25 29 76264
25 30 181377
25 31 118264
25 32 150013
25 33 109394
25 34 80053
25 35 53964
25 36 112380
25 37 80286
25 38 106043
25 39 129201
25 40 121512
25 41 94375
25 42 91508
25 43 141327
25 44 122017
25 45 111942
25 46 32221
25 47 128947
26 27 195343
26 28 233262
26 29 168110
26 30 303814
26 31 203384
26 32 284302
26 33 229256
26 34 231458
26 35 206945
26 36 252867
26 37 231691
26 38 231748
26 39 209449
26 40 213358
26 41 229418
26 42 217213
26 43 233173
26 44 270229
26 45 236803
26 46 183626
26 47 223683
27 28 88047
27 29 92268
27 30 119479
27 31 8041
27 32 95157
27 33 108737
27 34 120483
27 35 131103
27 36 57524
27 37 120716
27 38 65220
27 39 127346
27 40 47020
27 41 91042
27 42 50685
27 43 66936
27 44 128207
27 45 101952
27 46 78002
27 47 44422
28 29 93679
28 30 125494
28 31 96088
28 32 68156
28 33 126809
28 34 48856
28 35 132514
28 36 30523
28 37 49089
28 38 91427
28 39 107080
28 40 73227
28 41 111790
28 42 108923
28 43 93143
28 44 101206
28 45 68611
28 46 49636
28 47 107140
29 30 135704
29 31 100309
29 32 125585
29 33 106965
29 34 91875
29 35 58431
29 36 87952
29 37 92108
29 38 95648
29 39 110668
29 40 45248
29 41 61308
29 42 75213
29 43 65063
29 44 102119
29 45 96351
29 46 44043
29 47 116294
30 31 127520
30 32 132604
30 33 166376
30 34 158815
30 35 174539
30 36 94971
30 37 159048
30 38 122859
30 39 154406
30 40 104659
30 41 197012
30 42 108324
30 43 124575
30 44 165654
30 45 115937
30 46 149156
30 47 163901
31 32 103198
31 33 115580
31 34 128524
31 35 139144
31 36 65565
31 37 112675
31 38 73261
31 39 132380
31 40 55061
31 41 99083
31 42 58726
31 43 74977
31 44 136248
31 45 93911
31 46 86043
31 47 52463
32 33 106249
32 34 101477
32 35 164420
32 36 37633
32 37 101710
32 38 98537
32 39 126056
32 40 80337
32 41 160870
32 42 84002
32 43 100253
32 44 108316
32 45 136767
32 46 117792
32 47 114250
33 34 125005
33 35 160051
33 36 104421
33 37 125238
33 38 103359
33 39 19807
33 40 61717
33 41 139327
33 42 88824
33 43 113833
33 44 142024
33 45 58276
33 46 77173
33 47 126263
34 35 102441
34 36 79379
34 37 17313
34 38 121654
34 39 117410
34 40 94989
34 41 109986
34 42 107119
34 43 126464
34 44 89016
34 45 78941
34 46 59966
34 47 76061
35 36 126787
35 37 102674
35 38 128583
35 39 149503
35 40 103679
35 41 100143
35 42 114048
35 43 103898
35 44 140954
35 45 135186
35 46 82878
35 47 155129
36 37 64077
36 38 60904
36 39 124228
36 40 42704
36 41 123237
36 42 78569
36 43 62620
36 44 70683
36 45 99134
36 46 80159
36 47 101946
37 38 121887
37 39 117643
37 40 95222
37 41 110219
37 42 107352
37 43 126697
37 44 89249
37 45 79174
37 46 60199
37 47 76294
38 39 123166
38 40 50400
38 41 135976
38 42 85473
38 43 70316
38 44 131587
38 45 153543
38 46 73822
38 47 109642
39 40 81524
39 41 133707
39 42 108631
39 43 133640
39 44 137378
39 45 38469
39 46 96980
39 47 146070
40 41 106556
40 42 35865
40 43 52116
40 44 96985
40 45 119993
40 46 89291
40 47 91442
41 42 121441
41 43 126371
41 44 80165
41 45 141875
41 46 62154
41 47 135454
42 43 55781
42 44 117052
42 45 139008
42 46 59287
42 47 95107
43 44 133303
43 45 133756
43 46 109106
43 47 111358
44 45 98909
44 46 89796
44 47 126357
45 46 79721
45 47 130292
46 47 96726
Case #49: 406
1 2 309858
1 3 200401
1 4 310939
1 5 307370
1 6 278688
1 7 300039
1 8 350912
1 9 282307
1 10 250854
1 11 263152
1 12 197876
1 13 249225
1 14 186468
1 15 300378
1 16 256531
1 17 362127
1 18 278677
1 19 358764
1 20 370472
1 21 280165
1 22 311176
1 23 234634
1 24 300221
1 25 241703
1 26 278590
1 27 216424
1 28 307833
1 29 270282
2 3 135101
2 4 114865
2 5 38278
2 6 72002
2 7 64236
2 8 119095
2 9 79103
2 10 94794
2 11 108947
2 12 160442
2 13 128474
2 14 159180
2 15 63897
2 16 53327
2 17 140896
2 18 59185
2 19 63186
2 20 174398
2 21 89800
2 22 33986
2 23 100868
2 24 146016
2 25 101666
2 26 79444
2 27 119078
2 28 27669
2 29 67580
3 4 161220
3 5 112011
3 6 78287
3 7 150320
3 8 150511
3 9 123423
3 10 101135
3 11 68351
3 12 48157
3 13 48824
3 14 36749
3 15 150659
3 16 97647
3 17 227658
3 18 117361
3 19 198287
3 20 220753
3 21 105918
3 22 113749
3 23 34233
3 24 104992
3 25 91984
3 26 128871
3 27 16023
3 28 107432
3 29 120563
4 5 76587
4 6 110311
4 7 139202
4 8 194061
4 9 140670
4 10 133103
4 11 221845
4 12 135879
4 13 210044
4 14 147287
4 15 139541
4 16 166446
4 17 216540
4 18 174050
4 19 178051
4 20 59533
4 21 149327
4 22 80879
4 23 160395
4 24 192807
4 25 160665
4 26 117753
4 27 177243
4 28 87196
4 29 170192
5 6 33724
5 7 63293
5 8 117474
5 9 117381
5 10 56516
5 11 145258
5 12 132310
5 13 134819
5 14 120902
5 15 62954
5 16 91605
5 17 139953
5 18 97463
5 19 101464
5 20 136120
5 21 72740
5 22 4292
5 23 83808
5 24 116220
5 25 84078
5 26 41166
5 27 102018
5 28 10609
5 29 93605
6 7 96339
6 8 151198
6 9 151105
6 10 90240
6 11 146638
6 12 103628
6 13 127111
6 14 115036
6 15 96678
6 16 125329
6 17 173677
6 18 131187
6 19 135188
6 20 169844
6 21 106464
6 22 38016
6 23 112520
6 24 149944
6 25 117802
6 26 74890
6 27 94310
6 28 44333
6 29 127329
7 8 54859
7 9 103895
7 10 49185
7 11 82643
7 12 124979
7 13 102170
7 14 113571
7 15 339
7 16 117563
7 17 77338
7 18 39385
7 19 127422
7 20 198735
7 21 108873
7 22 66907
7 23 146423
7 24 96503
7 25 65076
7 26 76921
7 27 134971
7 28 73224
7 29 30990
8 9 158754
8 10 104044
8 11 137502
8 12 175852
8 13 157029
8 14 168430
8 15 55198
8 16 172422
8 17 132197
8 18 94244
8 19 131930
8 20 253594
8 21 163732
8 22 121766
8 23 116278
8 24 151362
8 25 119935
8 26 76308
8 27 134488
8 28 128083
8 29 85849
9 10 110182
9 11 124177
9 12 148116
9 13 140201
9 14 159524
9 15 104234
9 16 25776
9 17 181233
9 18 91205
9 19 128009
9 20 200203
9 21 168903
9 22 113089
9 23 125610
9 24 178036
9 25 81473
9 26 82446
9 27 107400
9 28 106772
9 29 82810
10 11 131828
10 12 75794
10 13 149959
10 14 64386
10 15 49524
10 16 135958
10 17 126523
10 18 88570
10 19 157980
10 20 155227
10 21 129256
10 22 60808
10 23 135368
10 24 102790
10 25 114261
10 26 27736
10 27 117158
10 28 67125
10 29 80175
11 12 93692
11 13 19527
11 14 105100
11 15 82982
11 16 133952
11 17 159981
11 18 49762
11 19 172133
11 20 239263
11 21 142223
11 22 142933
11 23 70538
11 24 76123
11 25 92243
11 26 104092
11 27 52328
11 28 136616
11 29 58157
12 13 74165
12 14 11408
12 15 125318
12 16 122340
12 17 202317
12 18 103617
12 19 211079
12 20 195412
12 21 105105
12 22 136602
12 23 59574
12 24 130333
12 25 66643
12 26 103530
12 27 41364
12 28 132773
12 29 95222
13 14 85573
13 15 102509
13 16 146471
13 17 179508
13 18 69289
13 19 191660
13 20 245807
13 21 122696
13 22 130527
13 23 51011
13 24 56596
13 25 98787
13 26 123619
13 27 32801
13 28 124210
13 29 77684
14 15 113910
14 16 133748
14 17 190909
14 18 115025
14 19 199671
14 20 206820
14 21 116513
14 22 125194
14 23 70982
14 24 141741
14 25 78051
14 26 92122
14 27 52772
14 28 131511
14 29 106630
15 16 117224
15 17 76999
15 18 39046
15 19 127083
15 20 199074
15 21 109212
15 22 67246
15 23 146762
15 24 96842
15 25 64737
15 26 77260
15 27 135310
15 28 73563
15 29 30651
16 17 157148
16 18 98178
16 19 102233
16 20 174427
16 21 143127
16 22 87313
16 23 99834
16 24 171021
16 25 107249
16 26 108222
16 27 113670
16 28 80996
16 29 89783
17 18 116045
17 19 204082
17 20 276073
17 21 186211
17 22 144245
17 23 223761
17 24 173841
17 25 141736
17 26 98787
17 27 212309
17 28 150562
17 29 107650
18 19 122371
18 20 189501
18 21 148258
18 22 93171
18 23 119548
18 24 86831
18 25 42481
18 26 60834
18 27 101338
18 28 86854
18 29 8395
19 20 237584
19 21 152986
19 22 97172
19 23 164054
19 24 209202
19 25 157930
19 26 142630
19 27 182264
19 28 90855
19 29 130766
20 21 208860
20 22 140412
20 23 219928
20 24 252340
20 25 147020
20 26 177286
20 27 236776
20 28 146729
20 29 181106
21 22 68448
21 23 71685
21 24 179292
21 25 156818
21 26 113906
21 27 89895
21 28 74765
21 29 139863
22 23 79516
22 24 120512
22 25 88370
22 26 45458
22 27 97726
22 28 6317
22 29 97897
23 24 107607
23 25 126217
23 26 124974
23 27 18210
23 28 85833
23 29 127943
24 25 129312
24 26 130526
24 27 89397
24 28 126829
24 29 95226
25 26 86525
25 27 108007
25 28 94687
25 29 34086
26 27 143184
26 28 51775
26 29 52439
27 28 91409
27 29 109733
28 29 95249
Case #50: 66
1 2 8381
1 3 140885
1 4 208677
1 5 409974
1 6 372801
1 7 396606
1 8 349408
1 9 230482
1 10 329610
1 11 295753
1 12 116813
2 3 149266
2 4 200296
2 5 415748
2 6 364420
2 7 388225
2 8 341027
2 9 222101
2 10 321229
2 11 287372
2 12 108432
3 4 332800
3 5 534374
3 6 483046
3 7 384499
3 8 441583
3 9 340727
3 10 453733
3 11 275456
3 12 240936
4 5 392648
4 6 341320
4 7 371657
4 8 406997
4 9 415429
4 10 457285
4 11 357126
4 12 91864
5 6 51328
5 7 367961
5 8 167246
5 9 324189
5 10 327108
5 11 258918
5 12 484512
6 7 316633
6 8 115918
6 9 272861
6 10 364634
6 11 207590
6 12 433184
7 8 423782
7 9 174314
7 10 541956
7 11 109043
7 12 279793
8 9 249468
8 10 248716
8 11 314739
8 12 449459
9 10 498184
9 11 65271
9 12 323565
10 11 432913
10 12 429661
11 12 265262
Case #51: 136
1 2 181672
1 3 534180
1 4 298462
1 5 405797
1 6 412559
1 7 322827
1 8 652000
1 9 271644
1 10 273979
1 11 490589
1 12 294397
1 13 504775
1 14 704940
1 15 486568
1 16 292897
1 17 599997
2 3 352508
2 4 247768
2 5 261961
2 6 314375
2 7 321099
2 8 497541
2 9 89972
2 10 272251
2 11 308917
2 12 112725
2 13 453804
2 14 745718
2 15 374097
2 16 111225
2 17 418664
3 4 273904
3 5 166569
3 6 365329
3 7 569685
3 8 502060
3 9 338558
3 10 298387
3 11 426569
3 12 239783
3 13 326746
3 14 834067
3 15 439338
3 16 317305
3 17 421257
4 5 107335
4 6 306095
4 7 388923
4 8 442826
4 9 157796
4 10 24483
4 11 367335
4 12 180549
4 13 457245
4 14 560163
4 15 380104
4 16 179049
4 17 362023
5 6 353886
5 7 403116
5 8 335491
5 9 171989
5 10 131818
5 11 269406
5 12 152236
5 13 474375
5 14 667498
5 15 413608
5 16 150736
5 17 379153
6 7 455530
6 8 490010
6 9 224403
6 10 281612
6 11 623292
6 12 343612
6 13 692075
6 14 817292
6 15 74009
6 16 203150
6 17 619152
7 8 329173
7 9 231127
7 10 413406
7 11 545101
7 12 392842
7 13 459311
7 14 584528
7 15 529539
7 16 252380
7 17 435354
8 9 507480
8 10 467309
8 11 604897
8 12 384816
8 13 788484
8 14 767039
8 15 564019
8 16 486227
8 17 714644
9 10 182279
9 11 398889
9 12 161715
9 13 543776
9 14 655746
9 15 298412
9 16 21253
9 17 508636
10 11 391818
10 12 205032
10 13 432762
10 14 535680
10 15 355621
10 16 203532
10 17 337540
11 12 421642
11 13 204969
11 14 593172
11 15 624642
11 16 420142
11 17 109747
12 13 566529
12 14 635993
12 15 417621
12 16 140462
12 17 531389
13 14 578647
13 15 714552
13 16 565029
13 17 95222
14 15 891301
14 16 634493
14 17 483425
15 16 277159
15 17 619330
16 17 529889
Case #52: 630
1 2 595877
1 3 442731
1 4 375660
1 5 412090
1 6 279828
1 7 526264
1 8 543545
1 9 490858
1 10 425169
1 11 379843
1 12 460998
1 13 433346
1 14 536276
1 15 669260
1 16 450407
1 17 444879
1 18 520282
1 19 481265
1 20 422199
1 21 504518
1 22 552709
1 23 569875
1 24 342941
1 25 407813
1 26 478406
1 27 453374
1 28 388963
1 29 359717
1 30 461440
1 31 296544
1 32 418663
1 33 373186
1 34 404133
1 35 416039
1 36 544676
2 3 153146
2 4 334318
2 5 379876
2 6 320354
2 7 329872
2 8 256265
2 9 303129
2 10 342833
2 11 249986
2 12 463787
2 13 321444
2 14 460566
2 15 454366
2 16 315895
2 17 427990
2 18 409420
2 19 381403
2 20 380850
2 21 316789
2 22 436355
2 23 457973
2 24 345730
2 25 366471
2 26 481195
2 27 286253
2 28 429489
2 29 252932
2 30 216672
2 31 299333
2 32 363707
2 33 226996
2 34 292231
2 35 213790
2 36 503334
3 4 181172
3 5 226730
3 6 167208
3 7 176726
3 8 283614
3 9 149983
3 10 189687
3 11 96840
3 12 310641
3 13 168298
3 14 307420
3 15 365199
3 16 162749
3 17 332259
3 18 256274
3 19 228257
3 20 227704
3 21 163643
3 22 287661
3 23 304827
3 24 192584
3 25 213325
3 26 328049
3 27 133107
3 28 276343
3 29 99786
3 30 327855
3 31 146187
3 32 210561
3 33 73850
3 34 139085
3 35 60644
3 36 350188
4 5 287521
4 6 200680
4 7 197469
4 8 199771
4 9 201204
4 10 122616
4 11 156724
4 12 132203
4 13 143692
4 14 226054
4 15 361164
4 16 74747
4 17 267918
4 18 210060
4 19 344465
4 20 253434
4 21 187544
4 22 263055
4 23 213728
4 24 32719
4 25 97591
4 26 168184
4 27 195780
4 28 252163
4 29 142289
4 30 370358
4 31 79116
4 32 43003
4 33 107322
4 34 114479
4 35 176852
4 36 169016
5 6 132262
5 7 282168
5 8 401286
5 9 326302
5 10 277603
5 11 215287
5 12 216902
5 13 202255
5 14 498259
5 15 449492
5 16 337081
5 17 297313
5 18 406049
5 19 333699
5 20 311997
5 21 339962
5 22 321618
5 23 325779
5 24 320240
5 25 365095
5 26 455705
5 27 305808
5 28 241397
5 29 271578
5 30 302575
5 31 280631
5 32 244518
5 33 225620
5 34 173042
5 35 251483
5 36 408788
6 7 343934
6 8 381722
6 9 253775
6 10 145341
6 11 264048
6 12 300766
6 13 325643
6 14 426734
6 15 468991
6 16 204819
6 17 165051
6 18 275782
6 19 201437
6 20 271024
6 21 267435
6 22 430650
6 23 414408
6 24 233399
6 25 232833
6 26 368864
6 27 173546
6 28 109135
6 29 256963
6 30 376369
6 31 193790
6 32 224954
6 33 93358
6 34 296430
6 35 227852
6 36 276526
7 8 333199
7 9 263293
7 10 273220
7 11 152278
7 12 329672
7 13 92918
7 14 362858
7 15 340155
7 16 218187
7 17 200981
7 18 296712
7 19 283695
7 20 261086
7 21 249633
7 22 212281
7 23 229447
7 24 230188
7 25 295060
7 26 320152
7 27 209476
7 28 361191
7 29 220667
7 30 412299
7 31 229720
7 32 193607
7 33 250576
7 34 122131
7 35 116082
7 36 366485
8 9 314969
8 10 236381
8 11 258074
8 12 331974
8 13 240281
8 14 425825
8 15 319229
8 16 274518
8 17 452638
8 18 344393
8 19 433733
8 20 367199
8 21 301309
8 22 359644
8 23 252059
8 24 232490
8 25 297362
8 26 367955
8 27 395551
8 28 292428
8 29 183828
8 30 411897
8 31 247001
8 32 156768
8 33 307093
8 34 228244
8 35 288413
8 36 368787
9 10 237814
9 11 111015
9 12 333407
9 13 182473
9 14 393987
9 15 215216
9 16 249316
9 17 382732
9 18 342841
9 19 314824
9 20 77721
9 21 13660
9 22 176875
9 23 319002
9 24 233923
9 25 249207
9 26 284746
9 27 283090
9 28 222522
9 29 185261
9 30 396558
9 31 194314
9 32 158201
9 33 160417
9 34 153260
9 35 147211
9 36 370220
10 11 126799
10 12 254819
10 13 180302
10 14 348670
10 15 427539
10 16 197363
10 17 310392
10 18 267238
10 19 330608
10 20 290044
10 21 224154
10 22 299665
10 23 316831
10 24 155335
10 25 220207
10 26 290800
10 27 318396
10 28 254476
10 29 201045
10 30 280622
10 31 201732
10 32 79613
10 33 229938
10 34 151089
10 35 162995
10 36 291632
11 12 247753
11 13 71458
11 14 282972
11 15 318695
11 16 138301
11 17 353259
11 18 275252
11 19 203809
11 20 181200
11 21 124675
11 22 190821
11 23 207987
11 24 129696
11 25 194568
11 26 265161
11 27 229947
11 28 315717
11 29 74246
11 30 302315
11 31 83299
11 32 113721
11 33 170690
11 34 42245
11 35 36196
11 36 325740
12 13 275895
12 14 358257
12 15 439338
12 16 152921
12 17 135715
12 18 231446
12 19 422639
12 20 335842
12 21 319747
12 22 395258
12 23 345931
12 24 164922
12 25 164356
12 26 254886
12 27 262545
12 28 295925
12 29 227627
12 30 347033
12 31 164454
12 32 175206
12 33 239525
12 34 246682
12 35 255026
12 36 301219
13 14 354430
13 15 247237
13 16 209759
13 17 293899
13 18 203794
13 19 275267
13 20 168168
13 21 196133
13 22 119363
13 23 136529
13 24 176411
13 25 241283
13 26 311876
13 27 301405
13 28 330057
13 29 127749
13 30 339046
13 31 136802
13 32 100689
13 33 237234
13 34 29213
13 35 107654
13 36 312708
14 15 587218
14 16 300801
14 17 493972
14 18 370676
14 19 414389
14 20 429693
14 21 407647
14 22 473793
14 23 406469
14 24 193335
14 25 258207
14 26 328800
14 27 356396
14 28 478217
14 29 302905
14 30 530974
14 31 239732
14 32 269057
14 33 333376
14 34 325217
14 35 246776
14 36 395070
15 16 286417
15 17 449012
15 18 451031
15 19 522504
15 20 292937
15 21 228876
15 22 366600
15 23 383766
15 24 393883
15 25 393317
15 26 499962
15 27 491506
15 28 437738
15 29 309543
15 30 237694
15 31 372716
15 32 347926
15 33 375633
15 34 276450
15 35 354891
15 36 530180
16 17 288636
16 18 284807
16 19 269718
16 20 278386
16 21 262291
16 22 329122
16 23 288475
16 24 107466
16 25 106900
16 26 242931
16 27 205089
16 28 177416
16 29 206690
16 30 434759
16 31 153863
16 32 117750
16 33 111461
16 34 180546
16 35 102105
16 36 243763
17 18 367161
17 19 366488
17 20 322099
17 21 369072
17 22 413262
17 23 430428
17 24 300637
17 25 300071
17 26 390601
17 27 338597
17 28 160210
17 29 363342
17 30 211318
17 31 300169
17 32 310921
17 33 258409
17 34 323112
17 35 317063
17 36 436934
18 19 348243
18 20 371962
18 21 332166
18 22 323157
18 23 340323
18 24 177341
18 25 242213
18 26 312806
18 27 340402
18 28 384917
18 29 286911
18 30 514980
18 31 223738
18 32 187625
18 33 182424
18 34 233007
18 35 311448
18 36 379076
19 20 254191
19 21 301164
19 22 394630
19 23 411796
19 24 333505
19 25 376618
19 26 468970
19 27 361364
19 28 310572
19 29 249905
19 30 477974
19 31 287108
19 32 317530
19 33 294795
19 34 246054
19 35 167613
19 36 477963
20 21 91381
20 22 163662
20 23 304697
20 24 236358
20 25 171486
20 26 362467
20 27 269675
20 28 161889
20 29 237491
20 30 383345
20 31 246544
20 32 210431
20 33 238138
20 34 138955
20 35 217396
20 36 422450
21 22 190535
